batch_id,plant,line,planned_qty,actual_qty,good_qty,rejected_qty,downtime_minutes,supplier_risk_score,machine_age_years,machine_criticality,shift,part_category,supplier_region,defect_risk_flag,production_achievement_pct,rejection_rate,good_rate,downtime_per_1000_units,is_night_shift,is_high_criticality,supplier_risk_bucket
BATCH_00001,Nashik,Line_B,802,788,768,20,37,0.49,7,Low,B,Electronics,South,1,0.9825436408977556,0.025380710659898477,0.9746192893401016,46.95431472081218,0,0,Medium
BATCH_00002,Nashik,Line_A,952,821,752,69,34,0.67,3,Medium,A,Transmission,East,1,0.8623949579831933,0.08404384896467722,0.9159561510353228,41.41291108404385,0,0,High
BATCH_00003,Nashik,Line_D,1039,830,816,14,30,0.3,1,Medium,B,Transmission,East,0,0.7988450433108758,0.016867469879518072,0.983132530120482,36.144578313253014,0,0,Low
BATCH_00004,Chakan,Line_A,861,732,704,28,40,0.31,9,Medium,A,Electronics,East,0,0.8501742160278746,0.03825136612021858,0.9617486338797814,54.6448087431694,0,0,Low
BATCH_00005,Chakan,Line_C,1220,1189,1161,28,46,0.31,5,High,A,Electronics,South,1,0.9745901639344262,0.023549201009251473,0.9764507989907485,38.687973086627416,0,1,Low
BATCH_00006,Bangalore,Line_C,1246,1091,1028,63,26,0.46,7,Low,C,Engine,East,1,0.8756019261637239,0.05774518790100825,0.9422548120989918,23.831347387717692,1,0,Medium
BATCH_00007,Bangalore,Line_B,1240,986,945,41,26,0.33,9,Low,B,Brake,East,0,0.7951612903225806,0.04158215010141988,0.9584178498985801,26.36916835699797,0,0,Low
BATCH_00008,Nashik,Line_C,924,748,697,51,38,0.18,5,Low,C,Engine,East,0,0.8095238095238095,0.06818181818181818,0.9318181818181818,50.80213903743316,1,0,Low
BATCH_00009,Chakan,Line_D,812,624,594,30,30,0.27,1,Medium,B,Electronics,North,0,0.7684729064039408,0.04807692307692308,0.9519230769230769,48.07692307692308,0,0,Low
BATCH_00010,Bangalore,Line_B,897,763,730,33,37,0.33,3,Low,C,Brake,East,0,0.850613154960981,0.04325032765399738,0.9567496723460026,48.492791612057665,1,0,Low
