batch_id,plant,line,planned_qty,actual_qty,good_qty,rejected_qty,downtime_minutes,supplier_risk_score,machine_age_years,machine_criticality,shift,part_category,supplier_region,defect_risk_flag
BATCH_00001,Nashik,Line_B,802,788,768,20,37,0.49,7,Low,B,Electronics,South,1
BATCH_00002,Nashik,Line_A,952,821,752,69,34,0.67,3,Medium,A,Transmission,East,1
BATCH_00003,Nashik,Line_D,1039,830,816,14,30,0.3,1,Medium,B,Transmission,East,0
BATCH_00004,Chakan,Line_A,861,732,704,28,40,0.31,9,Medium,A,Electronics,East,0
BATCH_00005,Chakan,Line_C,1220,1189,1161,28,46,0.31,5,High,A,Electronics,South,1
BATCH_00006,Bangalore,Line_C,1246,1091,1028,63,26,0.46,7,Low,C,Engine,East,1
BATCH_00007,Bangalore,Line_B,1240,986,945,41,26,0.33,9,Low,B,Brake,East,0
BATCH_00008,Nashik,Line_C,924,748,697,51,38,0.18,5,Low,C,Engine,East,0
BATCH_00009,Chakan,Line_D,812,624,594,30,30,0.27,1,Medium,B,Electronics,North,0
BATCH_00010,Bangalore,Line_B,897,763,730,33,37,0.33,3,Low,C,Brake,East,0
BATCH_00011,Bangalore,Line_C,1172,924,869,55,35,0.55,9,High,B,Electronics,West,1
BATCH_00012,Nashik,Line_B,907,921,868,53,40,0.32,8,Medium,B,Engine,North,0
BATCH_00013,Nashik,Line_B,862,806,779,27,33,0.57,4,High,A,Electronics,North,1
BATCH_00014,Bangalore,Line_D,1064,936,880,56,29,0.21,1,Medium,C,Engine,East,0
BATCH_00015,Nashik,Line_D,736,755,708,47,29,0.4,5,Medium,B,Engine,South,0
BATCH_00016,Chakan,Line_D,854,698,677,21,31,0.52,7,High,A,Axle,East,1
BATCH_00017,Nashik,Line_B,1020,758,721,37,26,0.23,2,Low,A,Transmission,North,0
BATCH_00018,Nashik,Line_D,1004,735,724,11,34,0.15,5,Low,B,Brake,North,0
BATCH_00019,Nashik,Line_D,805,665,627,38,29,0.15,5,Medium,A,Engine,South,0
BATCH_00020,Nashik,Line_B,1187,1220,1148,72,28,0.17,7,Medium,A,Engine,South,0
BATCH_00021,Chakan,Line_D,1131,1115,1082,33,37,0.54,6,Medium,B,Brake,South,1
BATCH_00022,Chakan,Line_D,715,531,506,25,38,0.27,8,Low,A,Brake,North,0
BATCH_00023,Chakan,Line_A,742,582,562,20,32,0.21,10,Medium,B,Axle,South,0
